,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-17 11:40:00,66.4,69.2,68.2,65.8,60.0,61.5,64.0,65.5,62.5,64.25,64.25
2017-07-17 11:45:00,65.75,69.75,67.75,65.5,60.25,61.75,63.5,65.5,63.0,64.5,64.5
2017-07-17 11:50:00,67.0,68.75,66.75,65.0,60.2,61.2,63.2,65.0,62.6,64.2,63.8
2017-07-17 11:55:00,66.75,70.0,68.5,66.0,59.75,60.75,62.25,64.5,62.5,64.0,63.25
2017-07-17 12:00:00,66.25,69.25,68.0,65.5,59.75,61.0,62.75,65.5,62.25,64.0,63.0
2017-07-17 12:05:00,66.0,68.75,67.25,65.5,59.75,60.75,62.75,64.5,62.5,63.75,63.75
2017-07-17 12:10:00,66.25,69.0,67.75,65.5,60.25,61.25,62.5,65.5,62.75,63.75,63.25
2017-07-17 12:15:00,64.8,69.6,68.4,65.8,60.25,61.5,63.25,65.75,62.75,64.0,63.25
2017-07-17 12:20:00,65.5,70.0,68.25,65.25,59.75,61.0,62.75,64.75,62.5,64.25,64.5
2017-07-17 12:25:00,66.5,69.5,68.25,65.5,60.2,60.8,63.6,65.0,62.8,64.2,63.6
2017-07-17 12:30:00,65.75,69.25,68.25,66.0,60.0,60.75,63.0,65.25,63.0,64.25,63.75
2017-07-17 12:35:00,66.25,69.75,67.5,66.25,60.25,62.0,63.75,65.5,63.5,64.75,64.75
2017-07-17 12:40:00,67.25,70.5,68.25,66.5,61.25,62.25,64.75,67.25,64.25,66.0,64.75
2017-07-17 12:45:00,65.5,69.75,68.25,65.75,60.333333333333336,62.0,64.0,66.66666666666667,63.333333333333336,65.0,64.0
2017-07-17 12:50:00,66.0,70.25,68.0,65.75,60.5,62.0,64.0,66.25,63.5,65.0,62.5
2017-07-17 12:55:00,65.25,70.66666666666667,67.33333333333333,65.33333333333333,61.0,62.5,64.75,66.5,63.75,65.25,64.5
2017-07-17 13:00:00,65.25,69.5,68.5,66.0,59.75,61.5,63.5,65.25,62.5,64.0,64.25
2017-07-17 13:05:00,66.5,69.0,67.5,65.0,60.5,62.5,64.0,66.0,64.0,64.75,64.75
2017-07-17 13:10:00,66.0,68.8,67.4,65.6,60.0,62.0,63.75,66.0,63.5,64.5,65.0
2017-07-17 13:15:00,65.8,69.5,68.0,65.5,60.25,61.75,64.0,65.5,63.5,64.5,64.75
2017-07-17 13:20:00,65.75,69.75,67.5,65.5,59.8,61.6,63.0,64.8,62.4,64.0,63.4
2017-07-17 13:25:00,65.25,69.25,67.0,65.5,59.5,61.25,63.0,65.0,62.75,64.0,63.25
2017-07-17 13:30:00,65.25,68.5,67.25,65.25,59.25,60.5,62.75,64.75,62.25,63.5,63.5
2017-07-17 13:35:00,65.75,69.0,66.5,65.5,59.75,61.0,63.25,66.0,63.25,64.0,63.75
2017-07-17 13:40:00,66.0,69.5,67.0,66.75,59.75,61.25,62.75,65.0,63.0,64.0,63.5
2017-07-17 13:45:00,65.75,69.5,67.25,66.25,59.25,61.75,62.75,65.75,62.75,64.0,62.5
2017-07-17 13:50:00,65.75,70.0,67.2,66.0,59.25,61.25,62.25,65.25,62.75,63.75,63.0
2017-07-17 13:55:00,65.8,69.0,67.25,65.5,59.25,61.5,62.75,65.5,62.75,63.75,62.75
2017-07-17 14:00:00,66.0,69.0,67.25,65.5,60.25,62.25,63.75,66.75,64.0,64.75,65.75
2017-07-17 14:05:00,66.0,69.25,66.75,65.25,59.4,61.6,62.8,65.8,63.4,63.8,64.6
2017-07-17 14:10:00,66.5,69.5,67.25,65.75,59.5,61.25,62.75,65.25,62.75,63.75,63.0
2017-07-17 14:15:00,65.25,70.0,68.75,65.5,59.5,61.25,63.5,64.75,63.5,64.0,64.0
2017-07-17 14:20:00,66.25,69.5,67.75,65.5,59.5,61.0,63.25,65.25,63.0,64.0,64.25
2017-07-17 14:25:00,66.25,69.0,67.75,65.75,59.75,61.5,63.25,65.5,63.0,64.0,63.5
2017-07-17 14:30:00,65.75,69.75,68.25,66.0,60.0,61.0,63.0,65.0,62.75,63.5,63.75
2017-07-17 14:35:00,65.75,69.0,66.5,66.0,59.75,61.0,62.75,65.25,63.25,63.75,64.0
2017-07-17 14:40:00,66.0,69.2,67.4,65.8,60.0,61.0,63.0,65.0,63.5,64.0,64.0
2017-07-17 14:45:00,66.4,69.25,67.5,65.5,60.5,61.0,63.75,65.5,63.75,64.25,64.0
2017-07-17 14:50:00,67.0,69.5,68.0,65.0,61.0,62.25,64.75,66.75,63.75,65.25,64.5
2017-07-17 14:55:00,67.5,69.0,67.5,65.5,60.8,61.8,64.4,66.4,63.6,65.6,64.6
2017-07-17 15:00:00,66.25,69.0,68.0,65.75,60.0,61.0,63.25,65.25,62.75,65.0,64.0
2017-07-17 15:05:00,67.0,69.75,67.25,65.75,61.25,62.75,64.5,66.75,64.0,66.0,65.0
2017-07-17 15:10:00,66.5,68.25,67.0,65.0,60.75,62.25,64.25,66.75,63.5,64.75,65.25
2017-07-17 15:15:00,66.5,70.25,69.0,66.75,61.5,62.5,64.25,66.5,64.25,65.5,65.25
2017-07-17 15:20:00,66.5,70.0,67.75,65.75,61.0,62.75,64.75,66.5,64.0,65.5,66.0
2017-07-17 15:25:00,65.25,69.2,67.4,65.4,60.25,61.75,63.75,65.75,63.25,64.25,64.0
2017-07-17 15:30:00,66.0,69.75,67.5,65.5,59.75,60.75,62.5,64.75,62.75,62.75,63.5
2017-07-17 15:35:00,65.5,69.0,67.5,65.0,59.6,61.0,62.8,64.2,62.4,63.4,64.0
2017-07-17 15:40:00,66.0,68.75,67.5,66.0,59.5,61.25,63.0,65.75,63.0,63.5,63.25
2017-07-17 15:45:00,65.5,68.75,67.75,66.0,59.25,60.25,63.0,64.25,62.75,63.75,63.25
2017-07-17 15:50:00,66.25,68.5,68.0,66.0,59.25,61.5,63.0,64.5,63.0,64.0,64.0
2017-07-17 15:55:00,66.25,69.75,67.75,66.0,59.75,61.75,63.75,65.5,63.5,64.5,65.25
2017-07-17 16:00:00,65.5,69.0,67.5,65.5,59.5,61.75,63.25,65.0,63.25,64.0,63.5
2017-07-17 16:05:00,66.2,69.0,67.4,66.2,59.0,61.5,62.75,65.0,62.75,63.25,62.75
2017-07-17 16:10:00,67.0,68.5,67.75,66.0,60.0,61.75,63.5,66.0,63.25,64.5,64.0
2017-07-17 16:15:00,66.0,69.25,67.75,66.0,59.8,61.4,63.4,65.0,63.4,63.8,63.6
2017-07-17 16:20:00,66.0,69.5,68.0,65.5,59.25,61.25,63.5,65.25,63.0,63.5,63.75
2017-07-17 16:25:00,66.25,69.25,67.25,66.0,59.75,61.5,63.5,65.25,62.75,63.0,62.75
2017-07-17 16:30:00,65.5,69.0,67.75,66.25,59.75,61.0,63.75,65.0,63.25,64.0,64.5
2017-07-17 16:35:00,65.25,69.0,67.75,65.25,59.5,61.25,63.0,65.5,63.0,63.5,63.5
2017-07-17 16:40:00,66.75,69.5,67.5,65.75,59.333333333333336,61.333333333333336,62.666666666666664,64.33333333333333,62.666666666666664,63.333333333333336,64.0
2017-07-17 16:45:00,66.5,69.25,67.5,65.75,60.0,61.5,63.0,65.75,62.75,63.5,64.0
2017-07-17 16:50:00,66.33333333333333,67.0,66.0,64.66666666666667,59.5,62.0,63.25,65.5,63.0,63.75,64.25
2017-07-17 16:55:00,65.8,68.8,67.4,65.0,59.75,61.25,63.5,65.5,63.5,64.0,65.0
2017-07-17 17:00:00,67.0,69.75,68.25,65.75,60.75,62.5,64.75,66.5,64.25,65.25,65.0
2017-07-17 17:05:00,67.0,69.25,67.5,66.0,60.4,62.4,64.4,66.4,64.2,65.4,65.0
2017-07-17 17:10:00,66.25,69.25,67.5,65.5,60.0,61.5,63.75,66.5,63.75,64.0,64.25
2017-07-17 17:15:00,66.5,69.25,68.25,65.5,61.0,62.0,64.0,66.0,64.5,65.25,66.0
2017-07-17 17:20:00,66.5,69.75,68.25,66.0,60.5,62.25,64.25,66.75,65.0,65.5,65.5
2017-07-17 17:25:00,66.25,69.75,68.5,65.5,60.0,61.5,63.5,66.0,64.0,65.0,64.0
2017-07-17 17:30:00,67.0,70.0,68.5,66.0,60.75,62.25,64.0,66.5,64.5,65.25,64.75
2017-07-17 17:35:00,66.25,69.0,68.25,65.5,60.5,62.0,63.75,66.75,64.0,64.5,65.0
2017-07-17 17:40:00,66.75,69.6,68.2,65.6,60.5,62.25,63.75,66.75,64.0,64.25,64.5
2017-07-17 17:45:00,66.8,69.75,68.75,66.25,61.0,63.0,64.25,67.25,64.5,65.0,65.25
2017-07-17 17:50:00,66.25,68.75,67.0,65.5,60.0,62.6,64.0,66.2,64.2,64.0,64.6
2017-07-17 17:55:00,66.0,70.25,68.25,65.75,60.25,62.0,64.25,66.5,64.25,64.5,64.0
2017-07-17 18:00:00,65.75,69.25,67.75,65.5,60.0,62.25,64.0,66.5,64.0,64.25,63.75
2017-07-17 18:05:00,66.25,69.75,69.0,66.25,60.5,62.0,64.25,67.0,64.5,64.75,64.0
2017-07-17 18:10:00,67.0,68.5,68.0,65.5,60.0,60.75,63.75,65.5,63.5,64.25,64.0
2017-07-17 18:15:00,67.0,69.25,68.5,66.75,60.75,62.25,64.25,66.5,64.5,65.0,64.5
2017-07-17 18:20:00,66.5,69.0,68.0,66.2,60.0,62.25,64.25,66.25,64.0,64.5,64.25
2017-07-17 18:25:00,66.4,69.5,68.75,66.5,60.5,62.25,64.0,65.75,64.0,64.5,64.0
2017-07-17 18:30:00,66.75,69.75,68.0,66.0,60.6,62.4,64.4,66.2,64.4,65.0,64.4
2017-07-17 18:35:00,66.0,69.5,67.75,66.25,59.75,62.5,63.75,66.25,63.75,64.5,64.25
2017-07-17 18:40:00,66.75,69.25,67.5,66.5,60.25,62.0,64.0,66.5,63.75,64.5,64.25
2017-07-17 18:45:00,67.25,68.75,67.5,65.25,60.75,62.5,64.25,66.5,64.25,65.25,64.75
2017-07-17 18:50:00,66.5,70.0,68.75,66.5,60.0,61.75,64.0,65.75,63.5,64.25,64.25
2017-07-17 18:55:00,66.75,70.25,68.0,66.25,60.25,62.25,63.75,65.75,63.5,64.5,63.5
2017-07-17 19:00:00,66.5,69.5,68.25,66.0,59.5,61.75,63.75,65.5,63.5,64.5,63.75
2017-07-17 19:05:00,66.6,70.0,69.0,66.4,60.5,62.5,64.5,66.25,64.5,65.5,64.75
2017-07-17 19:10:00,66.25,69.25,68.0,66.0,60.75,63.25,64.5,66.25,64.75,65.5,65.0
2017-07-17 19:15:00,67.0,70.5,68.75,66.75,60.6,62.4,64.2,66.6,64.2,65.2,65.2
2017-07-17 19:20:00,67.25,69.5,68.5,66.25,60.5,62.25,65.25,66.25,64.75,65.75,66.25
2017-07-17 19:25:00,66.0,69.25,67.75,65.75,60.0,61.5,63.75,65.25,63.5,64.25,64.0
2017-07-17 19:30:00,66.5,69.75,68.5,67.0,60.5,61.5,64.0,66.0,63.5,64.25,64.5
2017-07-17 19:35:00,66.0,70.25,67.25,65.75,60.0,61.25,63.75,65.0,63.25,64.25,64.25
2017-07-17 19:40:00,66.0,69.75,68.0,65.5,59.5,61.25,63.75,65.0,63.25,64.0,63.75
2017-07-17 19:45:00,65.75,70.0,68.0,66.5,59.75,62.25,64.0,66.0,63.75,64.25,64.0
2017-07-17 19:50:00,65.6,69.2,68.2,65.8,59.5,61.0,63.5,65.25,63.0,64.25,63.5
2017-07-17 19:55:00,65.5,69.75,68.25,66.25,59.75,62.0,63.5,65.75,63.25,64.0,64.0
2017-07-17 20:00:00,66.25,69.25,68.5,65.5,59.4,61.4,63.6,64.8,63.0,64.0,63.8
2017-07-17 20:05:00,66.25,70.0,67.75,66.25,59.25,62.25,63.75,65.5,63.5,64.25,64.25
2017-07-17 20:10:00,66.5,70.0,68.75,66.5,60.25,61.75,63.75,65.0,63.5,64.5,63.0
2017-07-17 20:15:00,66.5,70.25,68.75,66.25,60.75,62.5,64.75,66.25,64.0,65.5,64.5
2017-07-17 20:20:00,66.0,69.0,69.0,65.0,59.75,61.5,63.75,64.75,64.0,64.25,64.25
2017-07-17 20:25:00,65.5,69.5,68.75,66.25,60.25,62.5,64.5,65.75,63.75,65.25,65.0
2017-07-17 20:30:00,65.25,68.8,67.8,66.0,60.0,62.0,63.75,65.25,63.5,64.5,64.0
2017-07-17 20:35:00,66.4,70.25,68.0,66.5,60.75,63.5,64.75,66.25,64.0,66.0,65.5
2017-07-17 20:40:00,65.5,69.75,69.0,66.5,60.0,62.0,64.0,65.5,63.5,65.0,65.5
2017-07-17 20:45:00,66.0,70.5,68.5,66.0,60.4,62.6,64.4,66.0,63.8,65.4,65.2
2017-07-17 20:50:00,65.5,70.0,68.75,65.75,59.75,61.75,64.0,65.5,64.0,64.25,64.5
2017-07-17 20:55:00,65.75,69.25,68.0,65.0,60.0,61.25,64.5,65.5,63.75,64.75,64.0
2017-07-17 21:00:00,65.0,69.5,67.25,65.25,59.75,61.5,64.25,65.25,63.25,64.25,63.5
2017-07-17 21:05:00,66.5,69.75,68.5,66.0,60.0,62.0,64.25,65.5,63.75,64.5,63.5
2017-07-17 21:10:00,66.25,68.75,67.75,65.0,60.0,62.5,63.75,65.5,63.75,64.25,64.0
2017-07-17 21:15:00,66.25,69.4,67.6,65.2,60.25,63.0,64.75,66.0,64.0,64.5,65.0
2017-07-17 21:20:00,66.0,69.0,67.5,65.0,60.0,62.5,64.0,65.75,63.0,64.25,63.5
2017-07-17 21:25:00,65.75,68.75,68.25,65.25,60.0,62.5,64.5,66.25,63.5,64.5,64.0
2017-07-17 21:30:00,65.75,69.25,67.75,65.75,60.4,62.6,64.4,65.6,63.6,64.8,64.25
2017-07-17 21:35:00,66.0,69.25,67.75,65.75,60.0,61.75,63.25,64.75,63.25,63.75,63.25
2017-07-17 21:40:00,66.0,70.25,69.25,65.75,60.25,61.5,64.25,66.0,63.75,64.75,64.5
2017-07-17 21:45:00,66.0,68.75,68.0,65.25,59.5,62.0,64.0,65.25,63.5,64.0,64.0
2017-07-17 21:50:00,66.5,69.75,68.25,65.25,60.0,62.0,64.25,66.0,63.25,65.5,64.5
2017-07-17 21:55:00,66.25,69.0,68.5,65.5,60.0,61.75,64.0,64.75,63.0,64.25,64.0
2017-07-17 22:00:00,66.25,69.8,68.6,66.4,60.75,61.75,64.0,66.25,63.25,64.75,63.75
2017-07-17 22:05:00,66.0,70.25,68.25,65.0,60.0,62.25,63.75,65.75,63.75,64.75,64.25
2017-07-17 22:10:00,66.25,70.0,68.25,65.25,60.2,62.4,64.2,66.2,63.4,64.6,63.8
2017-07-17 22:15:00,67.0,68.5,67.5,65.0,60.5,63.0,64.75,66.25,64.0,65.0,64.5
2017-07-17 22:20:00,66.5,69.5,68.25,64.25,60.0,63.0,64.5,66.25,63.75,65.0,64.5
2017-07-17 22:25:00,66.0,69.5,67.5,65.0,60.0,62.5,64.25,66.0,63.75,64.25,64.0
2017-07-17 22:30:00,66.0,70.0,67.5,65.5,60.5,62.5,64.75,65.75,63.5,65.5,65.0
2017-07-17 22:35:00,66.25,68.75,67.75,65.5,60.25,62.5,64.5,66.25,63.75,65.0,64.0
2017-07-17 22:40:00,66.5,70.0,68.25,66.0,60.25,61.75,64.5,66.25,63.75,64.75,63.75
2017-07-17 22:45:00,66.0,70.0,67.4,66.2,59.5,62.0,63.75,65.0,63.0,64.25,63.75
2017-07-17 22:50:00,65.75,69.5,68.75,65.5,60.25,62.0,64.25,65.75,63.5,64.5,64.25
2017-07-17 22:55:00,66.25,68.5,68.0,64.75,60.2,61.4,64.0,65.8,63.8,64.0,64.0
2017-07-17 23:00:00,67.25,69.5,67.5,65.25,60.0,62.0,64.5,66.0,63.5,64.5,64.0
2017-07-17 23:05:00,67.75,70.25,68.5,65.25,60.5,61.5,64.5,66.0,63.5,64.25,64.5
2017-07-17 23:10:00,67.0,70.25,68.25,65.5,60.25,61.5,64.25,65.75,63.25,64.0,63.5
2017-07-17 23:15:00,65.75,68.5,67.25,64.75,60.0,61.25,63.75,65.75,63.25,63.5,63.0
2017-07-17 23:20:00,66.25,68.75,67.0,64.75,60.5,62.75,65.0,66.25,64.0,64.0,64.0
2017-07-17 23:25:00,66.6,69.8,68.2,64.4,60.25,62.75,64.75,66.25,63.75,64.25,64.5
2017-07-17 23:30:00,66.25,69.25,68.75,64.5,60.0,62.0,64.6,65.8,63.8,64.75,63.6
2017-07-17 23:35:00,66.75,69.0,66.75,64.5,59.8,62.0,64.25,65.5,63.5,64.2,64.0
2017-07-17 23:40:00,66.25,68.75,68.5,64.75,59.75,61.5,64.5,65.0,63.5,64.25,64.0
2017-07-17 23:45:00,66.5,68.75,67.75,64.5,60.25,61.75,64.5,66.25,63.75,64.25,64.25
2017-07-17 23:50:00,66.25,68.75,67.25,64.75,59.75,61.75,64.75,65.5,63.25,64.0,64.0
2017-07-17 23:55:00,66.5,69.5,68.25,64.5,60.25,61.75,64.5,66.5,63.75,64.75,64.25
2017-07-18 00:00:00,66.25,69.0,67.8,64.6,59.5,60.5,64.25,65.5,63.25,64.25,64.0
2017-07-18 00:05:00,66.0,69.0,68.25,65.0,60.0,61.5,64.5,65.75,63.5,64.25,63.75
2017-07-18 00:10:00,66.75,69.0,67.0,63.75,59.8,61.2,64.6,65.4,63.4,64.0,64.6
2017-07-18 00:15:00,66.0,69.5,67.25,64.25,60.0,61.5,64.5,65.25,64.0,64.5,64.5
2017-07-18 00:20:00,66.25,69.5,68.5,64.5,60.0,61.5,64.75,65.75,63.75,64.5,64.75
2017-07-18 00:25:00,67.0,69.25,68.0,64.25,60.25,61.5,64.75,66.25,63.75,64.5,64.5
2017-07-18 00:30:00,66.75,69.25,67.75,64.0,60.0,61.0,64.5,65.75,63.75,64.25,63.25
2017-07-18 00:35:00,65.5,69.5,67.5,64.75,59.5,61.75,64.25,65.0,63.5,64.25,64.25
2017-07-18 00:40:00,65.75,69.25,67.0,64.25,60.25,61.75,64.5,66.25,63.75,65.0,65.25
2017-07-18 00:45:00,66.0,69.4,68.2,64.4,59.75,62.25,64.5,65.5,63.25,65.0,64.5
2017-07-18 00:50:00,66.0,68.5,67.25,64.5,59.0,61.25,64.25,65.75,63.25,64.75,64.25
2017-07-18 00:55:00,66.0,67.5,67.0,64.25,60.0,61.75,64.25,66.0,63.75,65.0,63.75
2017-07-18 01:00:00,66.0,69.75,67.75,65.25,59.4,60.6,64.0,65.2,63.2,64.0,63.4
2017-07-18 01:05:00,66.0,69.75,68.0,64.5,60.0,62.25,64.75,66.0,64.25,64.5,65.0
2017-07-18 01:10:00,66.5,69.5,68.25,64.75,60.25,61.75,64.75,66.5,64.0,64.75,64.0
2017-07-18 01:15:00,66.25,70.0,68.0,65.0,59.5,61.0,64.5,66.0,63.5,64.5,63.75
2017-07-18 01:20:00,66.25,68.75,67.25,64.25,59.25,61.0,63.75,65.0,63.25,63.75,64.0
2017-07-18 01:25:00,67.0,69.25,67.5,65.0,60.0,61.25,64.5,66.0,63.75,64.0,64.5
2017-07-18 01:30:00,67.0,70.25,68.75,64.5,60.25,61.75,64.5,67.5,64.25,64.75,65.5
2017-07-18 01:35:00,66.5,68.75,67.5,64.75,60.75,62.25,64.25,66.5,64.75,64.75,65.0
2017-07-18 01:40:00,65.5,70.25,69.0,65.0,60.25,61.25,64.0,65.5,63.75,64.5,63.5
2017-07-18 01:45:00,66.25,70.5,67.75,65.0,60.0,62.0,64.5,66.0,64.0,65.0,64.0
2017-07-18 01:50:00,66.25,69.5,67.75,65.25,59.75,61.5,64.25,65.5,63.5,64.5,64.0
2017-07-18 01:55:00,67.0,69.5,67.5,65.75,60.75,62.75,64.5,66.25,63.5,65.0,64.5
2017-07-18 02:00:00,66.0,69.6,68.0,65.6,59.75,61.5,63.75,65.5,63.5,64.0,63.5
2017-07-18 02:05:00,65.8,69.0,67.5,65.5,60.0,61.25,64.75,66.5,64.0,64.5,63.5
2017-07-18 02:10:00,66.25,68.25,66.5,64.75,60.2,61.4,64.4,65.4,63.8,64.2,64.6
2017-07-18 02:15:00,65.5,69.75,67.0,65.75,60.25,62.0,64.5,66.5,63.75,65.0,65.25
2017-07-18 02:20:00,65.5,70.0,67.75,65.75,60.75,61.75,64.5,66.75,64.0,65.25,65.25
2017-07-18 02:25:00,65.5,70.0,68.25,66.0,60.0,61.5,63.75,66.25,63.5,64.5,64.75
2017-07-18 02:30:00,66.0,70.5,68.0,66.0,59.75,61.75,63.5,65.75,63.25,64.25,64.0
2017-07-18 02:35:00,66.0,70.5,68.5,65.0,59.75,61.25,63.75,66.0,63.75,64.5,64.5
2017-07-18 02:40:00,66.5,69.75,67.25,65.0,60.25,61.75,64.5,65.75,63.5,64.5,64.5
2017-07-18 02:45:00,66.6,69.2,67.0,66.0,60.5,62.25,64.75,66.5,63.75,65.0,65.0
2017-07-18 02:50:00,66.75,70.0,68.0,65.25,60.25,62.5,64.5,66.25,64.0,65.0,65.0
2017-07-18 02:55:00,66.0,70.0,67.0,65.75,59.8,62.2,63.8,65.8,63.4,65.0,64.4
2017-07-18 03:00:00,66.25,69.5,67.25,65.75,60.5,62.75,64.0,66.0,63.75,66.0,65.0
2017-07-18 03:05:00,66.75,69.75,67.75,65.25,60.25,62.25,64.25,66.25,63.5,65.25,64.75
2017-07-18 03:10:00,66.25,69.5,68.25,65.5,59.75,62.0,64.0,65.5,63.25,64.75,64.0
2017-07-18 03:15:00,66.75,69.5,67.5,66.0,60.25,62.25,64.5,66.25,63.75,65.25,64.0
2017-07-18 03:20:00,67.0,70.5,68.25,66.5,61.0,62.75,64.5,66.25,63.75,65.5,64.5
2017-07-18 03:25:00,66.75,70.5,68.75,66.25,60.5,62.25,64.5,66.25,63.75,65.5,64.75
2017-07-18 03:30:00,66.25,70.8,69.0,66.8,60.25,62.0,64.25,66.25,63.5,65.25,63.75
2017-07-18 03:35:00,66.8,69.5,67.5,65.75,60.0,61.5,64.25,66.0,63.25,64.75,64.5
2017-07-18 03:40:00,67.0,69.25,67.5,65.75,61.0,62.25,64.75,66.0,63.75,65.5,64.75
2017-07-18 03:45:00,67.0,69.5,67.75,65.5,61.0,62.6,64.8,66.4,63.6,65.6,65.4
2017-07-18 03:50:00,66.75,69.75,67.25,66.25,60.75,62.5,64.75,66.25,63.75,65.75,65.0
2017-07-18 03:55:00,66.25,70.75,69.0,65.5,60.5,61.75,64.25,66.25,63.75,65.25,65.0
2017-07-18 04:00:00,65.5,69.25,67.25,65.75,60.0,61.75,64.0,66.25,63.5,64.5,63.75
2017-07-18 04:05:00,66.5,69.0,67.5,64.75,60.5,62.0,64.5,65.5,63.0,65.5,64.75
2017-07-18 04:10:00,66.25,70.0,68.6,65.8,60.75,62.0,64.25,66.25,63.75,65.5,64.0
2017-07-18 04:15:00,66.4,69.75,68.75,65.75,60.5,62.0,64.5,66.5,63.75,66.0,64.0
2017-07-18 04:20:00,66.75,69.0,68.75,65.5,60.75,62.5,64.5,66.0,64.0,65.25,64.25
2017-07-18 04:25:00,66.75,69.0,68.25,65.25,60.6,62.2,64.4,65.6,63.6,65.0,63.8
2017-07-18 04:30:00,66.25,69.0,67.75,66.0,60.25,62.25,64.0,66.0,63.5,65.0,64.25
2017-07-18 04:35:00,66.25,69.75,68.5,65.75,60.75,63.0,64.25,66.75,64.0,65.25,65.0
2017-07-18 04:40:00,67.25,69.5,67.75,65.25,60.25,62.25,64.0,66.0,64.0,65.5,64.25
2017-07-18 04:45:00,66.75,69.75,69.0,66.0,60.5,62.25,64.75,66.25,64.0,65.5,65.0
2017-07-18 04:50:00,67.0,70.25,68.5,66.0,60.5,62.25,64.25,66.5,63.75,65.25,64.75
2017-07-18 04:55:00,66.25,69.25,67.75,65.0,60.25,62.25,63.75,65.75,63.5,64.75,64.75
2017-07-18 05:00:00,67.0,69.4,68.6,65.2,61.0,62.5,64.5,67.0,64.25,65.5,65.75
2017-07-18 05:05:00,66.75,69.25,67.5,65.0,60.5,62.0,64.0,66.25,63.75,64.5,64.25
2017-07-18 05:10:00,67.0,69.5,68.0,65.0,60.2,61.8,64.2,65.8,63.6,65.4,64.4
2017-07-18 05:15:00,67.5,70.0,68.25,65.25,60.75,62.0,64.75,66.25,64.0,65.25,65.0
2017-07-18 05:20:00,66.25,69.0,68.75,65.5,60.75,62.25,64.5,66.25,63.75,65.5,64.75
2017-07-18 05:25:00,66.25,70.0,68.75,65.75,60.75,62.5,65.0,66.25,64.0,65.5,64.25
2017-07-18 05:30:00,66.0,69.75,68.5,65.5,60.5,61.5,64.5,66.75,63.5,64.5,64.0
2017-07-18 05:35:00,66.25,71.0,69.25,65.75,60.75,61.5,64.75,66.0,63.75,65.5,64.25
2017-07-18 05:40:00,66.75,69.25,68.0,65.25,60.0,62.0,63.75,65.25,63.5,64.5,63.75
2017-07-18 05:45:00,66.75,70.4,68.4,65.4,60.25,62.0,64.75,66.5,64.25,65.5,64.75
2017-07-18 05:50:00,66.6,69.75,68.5,66.0,60.0,62.0,64.0,66.0,63.75,64.25,63.5
2017-07-18 05:55:00,65.75,69.25,68.25,65.25,60.25,62.0,64.0,65.75,63.75,64.25,63.6
2017-07-18 06:00:00,66.75,69.25,68.0,65.75,60.6,62.0,64.6,66.4,63.6,65.2,65.25
2017-07-18 06:05:00,66.25,70.0,68.75,65.75,60.0,61.0,63.5,65.5,64.0,64.25,63.25
2017-07-18 06:10:00,66.5,71.0,69.0,66.0,59.5,60.75,63.75,65.5,63.75,64.75,64.0
2017-07-18 06:15:00,66.6,69.4,68.4,65.2,60.0,62.0,64.25,65.75,63.0,65.25,63.75
2017-07-18 06:20:00,67.0,69.75,68.75,66.25,60.4,62.4,65.4,66.4,64.4,65.6,65.2
2017-07-18 06:25:00,66.75,69.0,68.25,64.75,60.25,61.5,63.5,65.5,63.75,64.5,64.75
2017-07-18 06:30:00,66.5,69.5,67.75,64.75,60.5,62.0,63.75,66.0,64.0,65.25,64.25
2017-07-18 06:35:00,66.6,69.6,68.0,65.6,60.5,61.75,64.5,65.5,63.75,65.75,64.75
2017-07-18 06:40:00,66.0,69.5,69.25,66.5,60.6,62.0,64.6,66.8,64.0,65.6,64.2
2017-07-18 06:45:00,66.5,69.75,69.0,65.75,60.0,61.75,64.0,66.5,63.25,65.0,64.75
2017-07-18 06:50:00,66.5,69.0,68.0,65.5,60.5,61.75,64.25,66.25,63.75,64.75,63.5
2017-07-18 06:55:00,67.0,69.75,67.75,66.0,60.75,62.25,64.5,66.25,63.75,65.25,64.25
2017-07-18 07:00:00,66.8,69.0,68.2,65.2,60.25,62.0,63.75,66.0,63.25,64.5,63.5
2017-07-18 07:05:00,66.0,69.5,67.75,65.5,60.2,62.6,64.2,66.8,63.4,64.2,64.4
2017-07-18 07:10:00,67.0,69.25,67.25,65.25,60.5,62.5,64.5,66.75,64.0,65.0,64.25
2017-07-18 07:15:00,66.75,69.5,68.75,65.5,60.25,62.0,64.25,66.25,63.75,64.5,64.75
2017-07-18 07:20:00,66.25,68.75,67.75,65.0,60.0,63.0,64.5,66.75,64.0,64.75,64.75
2017-07-18 07:25:00,66.6,69.4,68.4,66.6,60.0,61.25,63.75,65.25,63.0,64.0,63.0
2017-07-18 07:30:00,66.75,69.5,68.0,66.0,60.6,62.2,64.6,66.2,64.2,64.6,64.6
2017-07-18 07:35:00,67.25,69.5,67.75,66.25,60.25,61.75,64.25,65.5,63.75,64.25,64.25
2017-07-18 07:40:00,66.0,69.5,66.75,65.25,60.666666666666664,63.0,64.66666666666667,66.66666666666667,64.33333333333333,65.33333333333333,65.0
2017-07-18 07:45:00,66.25,69.33333333333333,68.0,65.66666666666667,60.75,61.75,65.0,66.0,64.0,64.75,64.75
2017-07-18 07:50:00,67.0,69.25,68.0,65.75,60.75,62.25,64.5,67.0,63.75,65.0,65.5
